,Instrument,Name,Latitude,Longitude
0,C}TS7309531684,Corpus Christi,27.841887,-97.27030699999999
1,C}TS7309532289,Texas City,29.364245,-94.897704
2,C}TS7309564485,GOLA - Galveston Offshore Lightering Area,28.568740000000002,-94.460887
3,C}TS7309531803,Houston,29.727513000000002,-95.12700799999999
4,C}TS7309531755,Galveston,29.313034000000002,-94.81093800000001
5,C}TS7309539053,Freeport (USA),28.949740000000002,-95.33753
6,C}TS7309533579,South Sabine Point,28.610160999999998,-93.488188
7,C}TS7309532302,Valdez,61.11411999999999,-146.37006
8,C}TS7309543051,Beaumont,30.053164000000002,-94.086511
9,C}TS7309539114,South Louisiana Port,30.023456,-90.603083
10,C}TS7309531967,New Orleans,29.935440999999997,-90.07996899999999
11,C}TS7309709063,Pacific Lightering Area 2,31.897995,-119.438401
12,C}TS7309534068,Philadelphia,39.907920000000004,-75.252483
13,C}TS7309533233,Sabine (To be removed soon),29.7,-93.866667
14,C}TS7309531860,Long Beach,33.767776684545495,-118.21093204521799
15,C}TS7309533587,Gulfmex (SW Pass) Lightering,28.351253000000003,-90.502712
16,C}TS7309543050,Port Arthur,29.851103000000002,-93.915173
17,C}TS7309531414,Mobile,30.705183,-88.04436899999999
18,C}TS7309532567,South West Pass,28.844036,-89.48700500000001
19,C}TS7309543052,Point Comfort,28.671685999999998,-96.558307
20,C}TS7309533561,US Gulf Lightering Zones,26.916666999999997,-91.5
21,C}TS7309789693,Corpus Christi STS Area 2,27.312478000000002,-96.834451
22,C}TS7309533136,Camden,39.923121,-75.10203100000001
23,C}TS7309539051,Richmond (California),37.943334,-122.37328799999999
24,C}TS7309538518,New York,40.626717,-73.972511
25,C}TS7309537580,St Croix,17.735085,-64.74277099999999
26,C}TS7309532446,Convent,30.022438,-90.84030899999999
27,C}TS7309531908,Miami,25.77571,-80.19185300000001
28,C}TS7309532479,St. Rose,29.936604,-90.339019
29,C}TS7309531848,Lake Charles,30.20095,-93.273925
30,C}TS7309532052,Pascagoula,30.339555999999998,-88.527354
31,C}TS7309944668,Corpus Christi STS 1,27.762469,-96.424654
32,C}TS7309724559,St. Charles,29.994153999999998,-90.417621
33,C}TS7309532500,Davant,29.609259,-89.88432900000001
34,C}TS7309534164,Bayonne (USA - New Jersey),40.666135,-74.105377
35,C}TS7309775696,Delaware Bay,38.928375,-75.161867
36,C}TS7309641681,Pacific Area Lightering,33.07557,-117.8295
37,C}TS7309535218,Marcus Hook,39.815882,-75.410598
38,C}TS7309538837,Wilmington (Del.),39.728831,-75.53293599999999
39,C}TS7309791374,Southwest Pass Lightering Area (test),28.312037,-89.54969399999999
40,C}TS7309543059,Pedricktown,39.7889970260995,-75.40736339960091
41,C}TS7309531596,Brownsville (Texas),25.992855,-97.30477900000001
42,C}TS7309823983,Pascagoula Lightering Zone,29.649432,-88.19617
43,C}TS7309786001,Calcasieu Pass (S) Anchorage,28.97979,-93.259846
44,C}TS7309536814,Lewes,38.8064639944569,-75.1312493298523
45,C}TS7309531235,Port Neches,29.975317999999998,-93.948541
46,C}TS7309538908,Portland (US - Oregon),45.574846,-122.746774
47,C}TS7309542909,Portland (Maine),43.655857974463395,-70.2575675660577
48,C}TS7309532267,Tacoma,47.26248,-122.412203
49,C}TS7309538494,LOOP,28.876179999999998,-90.008112
50,C}TS7309879556,Delaware Bay Offshore Lightering Area (test),38.702059999999996,-74.51951600000001
51,C}TS7309538907,Los Angeles (incl San Pedro),33.740434,-118.269551
52,C}TS7309898275,Southtex Lightering,27.116063,-94.490555
53,C}TS7309535214,Paulsboro,39.838136999999996,-75.246143
54,C}TS7309532506,Chalmette,29.94456,-89.966886
55,C}TS7309531385,Baton Rouge,30.466976000000003,-91.221965
56,C}TS7309898274,Gulfmex No.2 Lightering,27.199477,-90.251583
57,C}TS7309532977,El Segundo Terminal,33.911346,-118.48970200000001
58,C}TS7309532485,Alliance,29.682195,-89.970254
59,C}TS7309538920,Bayport,29.627453000000003,-95.015405
60,C}TS7309829878,Pascagoula Anchorage and Lightering Area,30.099764,-88.550161
61,C}TS7309543147,Kenai (Nikiski),60.678764,-151.392557
62,C}TS7309543058,Delaware City,39.586314,-75.622899
63,C}TS7309564323,Southwest Pass - River,29.031171,-89.33159
64,C}TS7309532541,Marrero,29.9,-90.1
65,C}TS7309532206,Savannah,32.103894,-81.11099499999999
66,C}TS7309791645,Enterprise HSC (HOU),29.738059999999997,-95.127447
67,C}TS7309542932,Riverhead Terminal,40.9860279096872,-72.6475126528167
68,C}TS7309531801,Limetree Bay,17.683332999999998,-64.733333
69,C}TS7309536212,Empire,29.379917,-89.572012
