Name,Perm Id,Ric,STS,Tanker Zone,Type
(ex.) Yang Ming Kaohsiung (T4 - 120),77309541589,C}TS7309541589,0,N/A,BERTH
(n.n.) Kalecik Cement Works,77309539267,C}TS7309539267,0,N/A,BERTH
(namless terminal under construction),77309541777,C}TS7309541777,0,N/A,BERTH
A&E Petrol Depot (Warri),77309848578,C}TS7309848578,0,N/A,BERTH
A&Z Shipyard Marine Wharf (Baton Rouge),77309838536,C}TS7309838536,0,N/A,BERTH
A&Z Shipyard Marine Wharf 2 (Baton Rouge),77309838537,C}TS7309838537,0,N/A,BERTH
A2A Monfalcone Power Station,77309540099,C}TS7309540099,0,N/A,BERTH
Aabenraa,77309531178,C}TS7309531178,0,Baltic,PORT
Aabenraa Roro Terminal,77309540668,C}TS7309540668,0,N/A,BERTH
Aaheim,77309534209,C}TS7309534209,0,North Sea,PORT
Aaiun,77309533743,C}TS7309533743,0,Tenerife,PORT
Aalborg,77309531185,C}TS7309531185,0,UK Continent,PORT
Aalborg Container Terminal,77309541202,C}TS7309541202,0,N/A,BERTH
Aalesund,77309543031,C}TS7309543031,0,North Sea,PORT
Aamchit (test),77309931546,C}TS7309931546,0,East Med,PORT
Aarhus,77309531192,C}TS7309531192,0,Baltic,PORT
Aarhus Bulk Terminal,77309539413,C}TS7309539413,0,N/A,BERTH
Aasiaat,77309531556,C}TS7309531556,0,Iceland,PORT
Aasta Hansteen Spar Platform,77309934240,C}TS7309934240,0,North Sea,PORT
Aawthai Bulk Terminal,77309542473,C}TS7309542473,0,N/A,BERTH
AB Dock Services North Slip West Berth (Hackberry),77309838538,C}TS7309838538,0,N/A,BERTH
"AB Dock Services North Slip, North Berth (Hackberry)",77309838539,C}TS7309838539,0,N/A,BERTH
"AB Dock Services North Slip, South Berth (Hackberry)",77309838540,C}TS7309838540,0,N/A,BERTH
"AB Dock Services South Slip, North Berth (Hackberry)",77309838541,C}TS7309838541,0,N/A,BERTH
"AB Dock Services South Slip, South Berth (Hackberry)",77309838543,C}TS7309838543,0,N/A,BERTH
Abadan,77309532673,C}TS7309532673,0,Arabian Gulf,PORT
Abashiri,77309533912,C}TS7309533912,0,Japan,PORT
Abbot Point,77309532444,C}TS7309532444,0,Townsville,PORT
Abbot Point Anchorage,77309768451,C}TS7309768451,0,N/A,ANCHORAGE
Aberdeen,77309533993,C}TS7309533993,0,North Sea,PORT
Aberdeen (USA),77309538554,C}TS7309538554,0,US West Coast,PORT
Aberdeen Anchorage,77309543019,C}TS7309543019,0,N/A,ANCHORAGE
Aberdeen Roro Ferry Terminal,77309540593,C}TS7309540593,0,N/A,BERTH
Abidjan,77309531682,C}TS7309531682,0,West Africa,PORT
Abidjan Anchorage,77309542953,C}TS7309542953,0,N/A,ANCHORAGE
Abidjan Conro and MPP Berths,77309540860,C}TS7309540860,0,N/A,BERTH
Abo FPSO,77309586747,C}TS7309586747,0,West Africa,PORT
Abonnema,77309533308,C}TS7309533308,0,West Africa,PORT
